法语发音问题,答案
在法语发音中，位于词尾的字母 e 通常如何发音？,通常不发音。
在法语发音中，位于词尾的字母 e 通常如何发音？,通常不发音。
法语单词中的字母 h 是否发音？,永远不发音。
"在法语中，双字母组合（如 ss, tt）通常发几个音？",只发一个音。
根据“长发丽人”口诀，哪四个辅音字母在词尾通常需要发音？,c、f、l、r。
法语字母组合 ou 的发音是什么？,$/u/$（类似于汉语拼音的 u）。
法语字母组合 oi 的发音是什么？,$/wa/$。
法语字母组合 ch 的发音是什么？,$/ʃ/$（类似于英语的 sh）。
法语字母组合 ai 和 ei 的发音是什么？,$/ɛ/$。
法语字母组合 au 的发音是什么？,$/o/$。
法语字母组合 eu 和 œu 在词尾或在 $/z/$ 音前通常发什么音？,$/ø/$。
法语字母组合 eu 和 œu 在除 $/z/$ 以外的辅音前通常发什么音？,$/œ/$。
动词 parler 的 je 变位形式是什么？,parle。
动词 parler 的 tu 变位形式是什么？,parles（注意词尾 s 不发音）。
动词 parler 的 nous 变位形式是什么？,parlons。
动词 parler 的 vous 变位形式是什么？,parlez（词尾 ez 发音为 $/e/$）。
动词 parler 的 ils/elles 变位形式及其发音特点是什么？,parlent，其中词尾 -ent 完全不发音。
动词 faire 的 je 变位形式是什么？,fais。
动词 faire 的 il/elle/on 变位形式是什么？,fait。
动词 faire 的 nous 变位形式是什么？,faisons。
动词 faire 的 vous 变位形式是什么？,faites。
动词 faire 的 ils/elles 变位形式是什么？,font。
动词 aller 的 je 变位形式是什么？,vais。
动词 aller 的 tu 变位形式是什么？,vas。
动词 aller 的 il/elle/on 变位形式是什么？,va。
动词 aller 的 nous 变位形式是什么？,allons。
动词 aller 的 vous 变位形式是什么？,allez。
动词 aller 的 ils/elles 变位形式是什么？,vont。
动词 vouloir 的 je 变位形式是什么？,veux。
动词 vouloir 的 nous 变位形式是什么？,voulons。
动词 vouloir 的 ils/elles 变位形式是什么？,veulent。
法语中的不定冠词（阳性单数、阴性单数、复数）分别是？,"un, une, des。"
法语中的定冠词（阳性单数、阴性单数、复数）分别是？,"le, la, les。"
介词 de 与定冠词 le 缩合后变成什么？,du。
介词 de 与定冠词 les 缩合后变成什么？,des。
介词 à 与定冠词 le 缩合后变成什么？,au。
表达“去电影院”，法语介词和冠词应如何使用？,Je vais au cinéma (à + le = au)。
主语为 Je 时，对应的物主形容词（阳性单数、阴性单数、复数）是？,"mon, ma, mes。"
主语为 Tu 时，对应的物主形容词（阳性单数、阴性单数、复数）是？,"ton, ta, tes。"
主语为 Il/Elle 时，对应的物主形容词（阳性单数、阴性单数、复数）是？,"son, sa, ses。"
主语为 Vous 时，对应的物主形容词（单数、复数）是？,"votre, vos。"
词汇翻译：le musée,博物馆
词汇翻译：le théâtre,剧院
词汇翻译：la patinoire,溜冰场
词汇翻译：la natation,游泳
词汇翻译：la randonnée,徒步/远足
词汇翻译：le VTT,山地自行车
词汇翻译：un stylo,钢笔
词汇翻译：une montre,手表
词汇翻译：des ciseaux,剪刀
词汇翻译：une trousse,铅笔盒/文具袋
词汇翻译：des lunettes,眼镜
法语中表达“喜欢”、“超级爱”、“讨厌”的动词分别是？,"aimer, adorer, détester。"
如何用法语询问“你叫什么名字？”（Vous形式）,Comment vous vous appelez ?
如何用法语询问“你的国籍是什么？”,Quelle est votre nationalité ?
如何用法语询问“你多大年纪？”,Vous avez quel âge ?
如何用法语询问“你的职业是什么？”,Quelle est votre profession ?
如何用法语表达“你的名字怎么拼写？”,Comment s'écrit votre nom ?
法语连词 “mais” 的中文意思是什么？,但是（表示转折）。
在否定句中，表达“不再……”使用哪两个词？,ne ... plus。
"翻译句子：J'aime la natation, mais je déteste le footing.",我喜欢游泳，但我讨厌慢跑。
"物主形容词选择：Dans (你) valise, il y a (你) magazines.","Dans ta valise, il y a tes magazines."
“去游泳馆”的法语表达是：Je vais _____ piscine.,à la。
